file_path,thumbnail,width,height,page_no,set_key,year
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i01-p0001.jpg,1424,2048,1,dra037-s01-b003-f037-i01,1942
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i01-p0002.jpg,2048,1465,2,dra037-s01-b003-f037-i01,1974
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i01-p0003.jpg,1424,2048,3,dra037-s01-b003-f037-i01,1993
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0001.jpg,1362,2048,1,dra037-s01-b003-f037-i02,1952
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0002.jpg,2048,1548,2,dra037-s01-b003-f037-i02,1931
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0003.jpg,2048,1548,3,dra037-s01-b003-f037-i02,1916
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0004.jpg,2048,1548,4,dra037-s01-b003-f037-i02,1942
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0005.jpg,2048,1548,5,dra037-s01-b003-f037-i02,1910
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0006.jpg,2048,1548,6,dra037-s01-b003-f037-i02,1987
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0007.jpg,2048,1548,7,dra037-s01-b003-f037-i02,1949
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i02-p0008.jpg,2048,1548,8,dra037-s01-b003-f037-i02,1959
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i03-p0001.jpg,2048,1460,1,dra037-s01-b003-f037-i03,1986
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i03-p0002.jpg,2048,675,2,dra037-s01-b003-f037-i03,1957
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i03-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i03-p0003.jpg,2048,1520,3,dra037-s01-b003-f037-i03,1988
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i04-p0001.jpg,1327,2048,1,dra037-s01-b003-f037-i04,1927
