file_path,thumbnail,width,height,page_no,set_key,year
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i01-p0001.jpg,1069,2048,1,dra037-s01-b001-f008-i01,1957
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i02-p0001.jpg,1360,2048,1,dra037-s01-b001-f008-i02,1957
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i02-p0002.jpg,2048,1544,2,dra037-s01-b001-f008-i02,1964
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i03-p0001.jpg,943,2048,1,dra037-s01-b001-f008-i03,1936
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i04-p0001.jpg,2048,1672,1,dra037-s01-b001-f008-i04,1959
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i04-p0002.jpg,2048,832,2,dra037-s01-b001-f008-i04,1932
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i05-p0001.jpg,2048,1644,1,dra037-s01-b001-f008-i05,1989
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i05-p0002.jpg,2048,819,2,dra037-s01-b001-f008-i05,1925
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i06-p0001.jpg,1360,2048,1,dra037-s01-b001-f008-i06,1974
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f008-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f008-i06-p0002.jpg,2048,1538,2,dra037-s01-b001-f008-i06,1999
