file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i07-p0001.jpg,990,2048,1,dra037-s01-b001-f002-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i07-p0002.jpg,2013,2048,2,dra037-s01-b001-f002-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i07-p0003.jpg,1007,2048,3,dra037-s01-b001-f002-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0001.jpg,1581,2048,1,dra037-s01-b001-f003-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0002.jpg,2048,1565,2,dra037-s01-b001-f003-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0003.jpg,1329,2048,3,dra037-s01-b001-f003-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i02-p0001.jpg,1335,2048,1,dra037-s01-b001-f003-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i02-p0002.jpg,1328,2048,2,dra037-s01-b001-f003-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i03-p0001.jpg,1252,2048,1,dra037-s01-b001-f003-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i04-p0001.jpg,1110,2048,1,dra037-s01-b001-f003-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i04-p0002.jpg,2048,1911,2,dra037-s01-b001-f003-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i05-p0001.jpg,1619,2048,1,dra037-s01-b001-f003-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i06-p0001.jpg,1272,2048,1,dra037-s01-b001-f003-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i06-p0002.jpg,2048,1573,2,dra037-s01-b001-f003-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i06-p0003.jpg,1316,2048,3,dra037-s01-b001-f003-i06
