file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0001.jpg,1371,2048,1,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0002.jpg,2048,1534,2,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0003.jpg,2048,1519,3,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0004.jpg,2048,1540,4,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0005.jpg,2048,1519,5,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0006.jpg,2048,1533,6,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0007.jpg,2048,1538,7,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i01-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i01-p0008.jpg,2048,1528,8,dra037-s01-b002-f034-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i02-p0001.jpg,1391,2048,1,dra037-s01-b002-f034-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i02-p0002.jpg,2048,1522,2,dra037-s01-b002-f034-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i02-p0003.jpg,2048,1522,3,dra037-s01-b002-f034-i02
