file_path,thumbnail,page_no,set_key,year,written_by,director,location,group_key
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f046-i08-p0003.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f046-i08-p0003.jpg,3,dra037-s01-b003-f046-i08,1965,Aristophanes,Russell L. Treyz,Yale School of Drama,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i01-p0001.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i01-p0001.jpg,1,dra037-s01-b003-f048-i01,1965,,"Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i01-p0002.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i01-p0002.jpg,2,dra037-s01-b003-f048-i01,1965,,"Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i01-p0003.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i01-p0003.jpg,3,dra037-s01-b003-f048-i01,1965,,"Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i01-p0004.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i01-p0004.jpg,4,dra037-s01-b003-f048-i01,1965,,"Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i01-p0005.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i01-p0005.jpg,5,dra037-s01-b003-f048-i01,1965,,"Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i02-p0001.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i02-p0001.jpg,1,dra037-s01-b003-f048-i02,1965,"Fairchild, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i02-p0002.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i02-p0002.jpg,2,dra037-s01-b003-f048-i02,1965,"Fairchild, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i02-p0003.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i02-p0003.jpg,3,dra037-s01-b003-f048-i02,1965,"Fairchild, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i02-p0004.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i02-p0004.jpg,4,dra037-s01-b003-f048-i02,1965,"Fairchild, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i02-p0005.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i02-p0005.jpg,5,dra037-s01-b003-f048-i02,1965,"Fairchild, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i02-p0006.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i02-p0006.jpg,6,dra037-s01-b003-f048-i02,1965,"Fairchild, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i02-p0007.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i02-p0007.jpg,7,dra037-s01-b003-f048-i02,1965,"Fairchild, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i03-p0001.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i03-p0001.jpg,1,dra037-s01-b003-f048-i03,1965,"Wycherley, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i03-p0002.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i03-p0002.jpg,2,dra037-s01-b003-f048-i03,1965,"Wycherley, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i03-p0003.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i03-p0003.jpg,3,dra037-s01-b003-f048-i03,1965,"Wycherley, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i03-p0004.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i03-p0004.jpg,4,dra037-s01-b003-f048-i03,1965,"Wycherley, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i03-p0005.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i03-p0005.jpg,5,dra037-s01-b003-f048-i03,1965,"Wycherley, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i03-p0006.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i03-p0006.jpg,6,dra037-s01-b003-f048-i03,1965,"Wycherley, William","Starnes, Leland",Yale Dramatic Association,founding_era
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b003-f048-i03-p0007.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b003-f048-i03-p0007.jpg,7,dra037-s01-b003-f048-i03,1965,"Wycherley, William","Starnes, Leland",Yale Dramatic Association,founding_era
