file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0002.jpg,1337,2048,2,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0003.jpg,1359,2048,3,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0004.jpg,1378,2048,4,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0005.jpg,1370,2048,5,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0006.jpg,1375,2048,6,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0007.jpg,1380,2048,7,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0008.jpg,1370,2048,8,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0009.jpg,1370,2048,9,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0010.jpg,1370,2048,1,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0011.jpg,1370,2048,11,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0012.jpg,1370,2048,12,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0013.jpg,1374,2048,13,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0014.jpg,1370,2048,14,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0015.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0015.jpg,1368,2048,15,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0016.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0016.jpg,1359,2048,16,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f066-i05-p0017.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f066-i05-p0017.jpg,2048,1302,17,howard_stein,1972,Maxim Gorky,Nikos Psacharopoulos,"Yale School of Drama, Yale Repertory Theatre"
